SRR15058638 SRR15058641 SRR15058644 SRR15058645 SRR15058646 SRR15058649 SRR15058619 SRR15058622 SRR15058623 SRR15058624 SRR15058625 SRR15058626 SRR15058627 SRR15058629 SRR15058634 SRR15058636
LOC105376253 2 3 3 1 0 7 1 6 2 2 1 3 0 0 0 2
MIR147A 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0
LOC124902260 0 0 1 1 0 0 0 1 0 1 0 0 0 2 1 0
LOC124902259 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
LOC107987123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LINC01613 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC107987122 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
LOC105376250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BRINP1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC101928849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC107987035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LINC02578 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC102724929 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376249 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TPT1P9 40 15 28 246 29 50 187 156 161 162 163 126 120 134 106 113
LOC105376247 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
LOC105376246 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376243 0 1 0 0 0 0 1 0 4 9 0 2 0 3 0 0
LOC105376244 44 50 26 1 86 52 17 14 34 31 33 18 12 16 5 5
RNU6.1082P 3 7 15 0 11 5 0 0 0 0 0 1 0 2 2 0
TLR4 1719 1379 3111 179 2304 1257 517 741 970 1305 2194 915 632 2205 417 440
RPL35AP22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC101928797 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
LOC124902330 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RN7SKP125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RN7SKP128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SNORA70C 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RPL10P3 1 0 2 7 1 1 0 4 4 6 2 4 7 1 3 3
LOC105376238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376239 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
TRIM32 99 62 101 99 38 130 177 146 124 146 88 89 135 77 88 60
LOC105376240 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
LOC107987014 3 1 1 0 1 9 0 0 0 1 0 0 0 0 0 0
ASTN2.AS1 2 1 0 0 3 8 0 1 1 1 2 0 0 0 2 0
ASTN2 40 14 15 11 18 50 22 40 32 25 18 25 20 24 20 17
PAPPA.AS1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PAPPA.AS2 2 1 0 7 4 0 2 2 1 0 1 0 0 1 2 0
PAPPA 21 12 0 5 14 15 19 23 18 10 8 5 14 9 5 8
LOC105376236 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124902258 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LINC00474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC101928775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124902356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376232 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124902257 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
DELEC1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
LOC101928748 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
LOC124902255 0 0 0 1 0 0 0 3 3 0 1 1 0 0 1 1
LOC124902256 0 0 2 0 2 1 3 12 4 5 2 7 6 1 1 2
TNC 4 1 5 0 5 9 5 10 11 2 5 3 3 1 2 3
TNFSF8 1163 493 436 1129 969 818 982 1062 1238 1206 1036 1117 962 1027 651 1252
LOC645266 0 0 0 1 5 2 3 0 0 1 2 2 5 2 0 0
TNFSF15 16 10 45 6 6 13 6 4 2 6 14 5 3 12 6 8
LOC105376231 0 0 1 5 0 1 3 1 0 2 0 0 3 2 2 0
TEX48 2 1 0 1 1 7 3 1 2 4 1 0 1 0 1 0
LOC107987121 10 1 6 18 7 26 28 16 17 8 14 4 8 9 9 7
TEX53 6 4 2 1 4 9 5 2 7 9 4 1 0 3 1 2
TMEM268 461 441 701 815 378 521 735 673 698 738 709 435 468 483 494 326
ATP6V1G1 483 273 358 2587 426 405 2005 1515 1804 1831 2054 1335 1530 1396 816 810
LOC124902352 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376229 0 0 1 1 0 1 4 1 0 0 0 0 0 0 0 0
LOC100131877 11 6 2 10 0 12 11 7 15 20 14 13 16 18 8 7
LOC124902254 10 2 3 5 3 13 15 11 11 12 18 10 8 14 13 2
WHRN 298 55 67 350 19 203 503 542 308 411 332 405 326 364 234 341
LOC124902253 166 97 80 9 60 179 20 40 31 22 36 16 9 23 51 18
AKNA 12885 5511 13959 10889 3410 12346 15403 17148 15990 13956 14159 14530 14744 12982 11387 11676
ORM2 1 1 2 0 3 1 1 2 0 0 2 2 0 1 1 0
ORM1 0 4 57 83 2 6 26 35 91 46 235 78 20 293 16 102
LOC105376224 0 1 6 1 0 2 1 2 0 0 3 1 1 1 1 5
LOC124902252 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
MIR455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
COL27A1 7 4 2 9 0 6 17 7 19 7 3 13 5 15 21 5
LOC105376225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124902251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
KIF12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC107987120 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
AMBP 0 0 0 0 1 3 4 0 1 0 0 0 0 1 0 0
ZNF618 162 154 108 45 112 160 292 200 234 236 198 158 196 161 193 149
LOC100132609 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
LOC100418705 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100288542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376223 0 0 3 0 2 1 0 0 1 1 0 0 1 0 0 0
LOC105376222 1 1 10 0 5 4 0 3 2 1 1 2 0 1 1 0
RGS3 539 415 2451 853 504 806 1050 1155 1101 815 423 648 646 521 641 579
C9orf43 4 1 4 7 2 5 10 9 10 7 8 4 4 1 2 8
POLE3 452 228 239 3064 287 509 1925 1542 1761 1869 1437 1180 1742 1481 997 889
ALAD 312 185 269 251 113 414 781 749 901 914 734 551 651 478 519 516
HDHD3 79 64 105 225 23 114 133 173 140 141 79 126 135 91 112 100
BSPRY 4 1 10 5 2 11 13 5 18 13 19 25 18 9 20 22
WDR31 6 3 7 5 0 3 6 10 8 13 3 3 12 10 4 4
RNF183 1 0 2 0 0 1 3 3 1 1 0 2 1 2 2 1
PRPF4 215 104 206 586 116 208 337 320 348 385 305 278 323 411 231 228
CDC26 79 57 84 300 67 53 230 298 387 263 277 250 257 234 149 126
LOC107987119 77 79 16 11 107 42 12 20 17 16 16 3 9 4 1 0
SLC31A1 282 231 193 447 463 257 406 402 568 535 627 257 369 372 292 225
FKBP15 2037 1684 1981 827 1449 2059 1808 2043 2297 2367 2674 1514 1438 1477 1380 1260
SLC31A2 31 32 42 16 24 28 45 36 73 60 82 43 44 40 44 35
FAM225A 27 26 19 6 10 42 6 6 8 5 31 9 7 1 8 11
FAM225B 3 3 0 0 1 3 0 3 1 0 4 1 0 0 0 4
ZFP37 25 11 1 9 12 13 13 18 9 34 7 22 17 19 11 6
ZNF883 8 3 3 18 2 11 24 34 37 19 9 24 14 15 16 9
MUPP 2 1 1 0 0 3 0 2 0 0 0 0 0 1 0 0
SLC46A2 121 66 96 8 72 141 42 85 109 116 115 33 73 35 47 41
SNX30 1244 758 374 732 1263 1123 1733 1727 2041 2092 1966 1150 1840 1277 1016 714
INIP 150 119 139 229 127 183 160 168 171 187 204 103 133 133 63 90
KIAA1958 549 467 707 231 650 611 467 295 497 505 459 250 306 240 139 175
HSDL2.AS1 4 8 24 3 4 16 16 8 14 11 6 8 4 9 4 5
HSDL2 107 74 150 42 157 210 207 239 405 292 381 184 164 248 94 140
RPL32P22 1 0 0 2 5 1 1 1 1 9 1 0 2 0 0 0
HSPE1P28 14 16 0 2 18 7 1 0 1 0 3 0 0 2 0 0
RN7SL430P 10 14 0 0 9 21 0 0 0 0 5 0 0 1 0 0
RNA5SP295 14 12 3 0 11 11 3 1 0 0 1 0 0 0 3 0
RN7SL57P 25 17 6 3 22 13 0 1 0 4 0 0 0 1 0 0
PTBP3 2450 1506 1127 2806 3182 2170 4042 4072 4437 4535 4556 2911 3097 2953 1128 973
RPL29P20 78 80 28 12 52 42 6 8 19 20 5 3 11 7 12 14
RNU6.855P 1 0 0 0 3 0 2 1 0 0 0 0 0 0 0 0
SUSD1 1242 1167 895 936 1121 784 1389 1527 1387 1460 1273 847 1083 800 825 771
RNU6.710P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124902250 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0
MIR4668 0 0 0 0 3 2 1 2 0 0 5 3 0 1 0 0
UGCG 280 175 261 912 350 323 692 601 837 627 1554 617 618 926 488 410
RNU6.1013P 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124902249 4 2 5 0 4 6 6 4 4 15 3 5 2 4 1 4
SHOC1 26 25 69 3 74 61 18 25 31 33 37 17 15 15 1 5
GNG10 0 3 14 10 0 3 12 12 10 13 41 9 12 22 20 20
DNAJC25 25 25 7 175 26 26 191 130 183 243 244 163 176 319 141 133
DNAJC25.GNG10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC107987116 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0
LRRC37A5P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PTGR1 3 1 5 1 6 5 3 2 5 5 7 2 1 3 2 4
ZNF483 349 125 59 385 166 234 338 228 251 367 161 240 260 236 123 110
RNA5SP294 6 6 1 2 2 7 1 2 1 1 1 1 0 0 0 0
ECPAS 2086 1642 827 1608 2225 1476 2683 2773 2990 2926 2696 1937 2326 1888 1501 1360
OR2K2 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0
MIR7702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376219 3 3 2 0 0 2 0 0 0 0 2 0 0 0 2 0
RNY4P18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124902248 4 13 3 0 0 4 2 1 4 0 1 0 1 0 1 0
RNU6.432P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LPAR1 148 102 118 9 24 82 47 59 45 48 62 13 38 35 44 27
LOC107987115 18 8 0 0 0 4 1 0 0 0 1 1 0 0 0 0
RPS21P5 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MUSK 26 22 1 0 9 15 3 0 0 1 0 0 0 0 0 0
LOC105376218 9 4 0 0 0 1 1 0 0 0 0 0 0 1 0 4
LOC124902247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124902331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU6.1039P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SVEP1 3 0 0 1 4 2 1 0 0 0 2 1 5 2 1 2
LOC124902245 1 0 5 0 0 0 2 0 0 0 0 0 0 0 0 0
TXNDC8 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
LOC124902246 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0
LOC107987114 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TXN 222 165 821 554 206 243 408 424 514 567 909 421 374 659 400 384
C9orf152 3 3 3 2 4 5 1 0 1 1 0 1 1 1 2 0
LOC105376217 2 3 1 6 9 5 2 0 0 2 0 0 2 1 3 1
LOC124902244 32 27 11 13 92 50 16 12 16 16 4 0 6 12 10 8
RPL21P87 1 2 3 15 0 1 8 5 8 4 3 8 4 2 2 4
LOC107987013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PALM2AKAP2 544 422 254 1363 714 663 1253 704 955 932 441 368 740 657 357 254
YBX1P6 0 2 0 7 0 3 7 13 8 5 6 4 9 13 5 2
MIR3927 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PTPN3 6 2 0 0 6 7 10 3 5 4 5 0 1 0 0 1
MTND2P11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU6.984P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
EPB41L4B 0 0 0 6 1 0 0 0 1 0 0 0 0 1 0 0
FRRS1L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
MIR32 7 2 0 1 0 6 0 0 2 2 3 0 3 4 3 0
TMEM245 633 260 239 1139 393 596 1160 788 930 1034 818 576 995 770 535 377
RNA5.8SP3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376216 3 2 3 2 5 2 3 3 3 1 3 3 1 2 2 0
CTNNAL1 27 36 36 281 157 21 84 75 84 76 114 76 66 81 64 52
ABITRAM 63 39 23 155 71 64 143 152 158 147 162 124 120 137 70 62
ELP1 594 276 216 870 282 606 1532 1302 1379 1197 1060 1122 1200 1113 831 661
ACTL7A 7 3 0 0 5 8 2 0 0 2 0 0 1 0 0 0
ACTL7B 0 1 0 0 0 3 1 2 0 1 1 1 0 1 1 7
LOC100288416 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
RPL36AP35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RPL36P14 2 0 2 8 0 0 1 0 2 0 5 1 0 0 2 2
LOC105376212 13 1 2 0 3 11 0 0 1 0 0 0 0 0 0 0
CHCHD4P2 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 2
LOC105376213 0 0 0 0 0 0 0 2 1 3 0 0 0 0 0 2
LOC105376214 118 55 39 63 93 70 110 61 138 117 53 26 54 41 82 41
RPL31P43 3 0 0 0 4 7 25 20 35 25 16 15 20 15 39 8
LOC124902243 0 1 0 3 1 1 0 0 0 0 1 2 1 0 0 0
LOC107987112 34 0 7 3 21 57 176 121 273 196 77 57 112 73 110 51
RPS15AP27 1 0 0 0 2 7 16 14 11 14 9 3 6 3 9 6
RNA5SP293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC101926973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RPL36AP6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RN7SL659P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU6.1064P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376208 0 1 4 0 1 1 0 0 1 0 2 0 0 3 3 0
LOC124902242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
RNU6.996P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376205 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
PPIAP88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376206 0 0 0 0 2 1 0 0 1 0 0 0 0 2 0 0
KLF4 686 797 1531 607 634 1039 4154 4024 4490 5146 7479 3037 3571 2400 3312 3174
RNU6.492P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HMGN2P32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LINC01509 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0
LOC107987111 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0
LOC124902241 1 1 9 5 6 9 7 5 6 5 13 6 8 13 17 8
RAD23B 1318 716 1040 2668 1070 1040 2514 2403 2792 2838 2877 2102 2379 2773 1848 1590
LOC107987110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC644661 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0
LOC100128086 1 0 0 5 0 0 3 2 3 0 0 0 1 0 4 1
RPL7AP44 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
LOC340512 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0
ZNF462 126 10 0 6 19 36 6 17 22 29 7 17 9 29 17 18
LOC105376204 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
RNA5SP292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100288437 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0
RN7SKP77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LINC01505 0 0 0 0 0 3 0 1 0 0 1 0 0 1 0 0
MIR8081 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
LOC124902240 13 3 24 0 13 42 8 17 10 20 6 28 4 5 4 4
LOC107987109 11 7 2 0 5 7 4 1 0 2 0 1 0 1 0 1
LOC107987108 11 0 4 2 1 11 6 21 4 7 13 19 6 1 0 1
SLC25A6P5 1 1 1 0 1 2 0 1 1 0 0 0 0 0 0 0
DEPDC1P2 31 45 5 11 44 21 8 15 15 11 10 12 6 17 3 6
LOC100421293 53 44 8 12 23 42 40 46 64 50 41 27 52 72 41 48
LOC107987107 24 18 8 3 25 16 26 25 34 32 37 23 15 46 13 12
TMEM38B 77 70 26 186 87 72 130 121 154 131 147 91 100 118 82 86
TAL2 0 0 0 0 0 0 1 4 6 0 0 2 0 0 1 2
FKTN 164 73 21 97 149 172 715 584 566 585 386 404 450 230 135 135
FKTN.AS1 0 0 2 1 0 0 0 0 0 3 0 1 0 1 0 0
RALGAPA1P1 49 37 9 39 37 28 84 80 79 79 61 52 73 52 56 53
FSD1L 54 31 20 5 63 43 96 116 113 129 100 59 71 30 33 25
SLC44A1 624 415 252 237 668 479 714 671 779 733 745 412 544 391 230 212
LOC112268038 4 5 8 3 3 7 4 4 2 3 1 1 2 7 7 6
RN7SKP191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376197 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
CT70 1 1 108 0 1 2 1 0 0 0 2 3 0 18 9 4
LOC105376196 135 61 1485 13 95 86 13 3 15 15 6 4 4 49 16 18
LOC124902239 219 119 897 11 366 61 17 4 14 12 19 2 4 39 4 2
ABCA1 2695 1048 4983 1698 1285 662 840 461 783 1039 1545 660 600 2856 630 689
NIPSNAP3B 127 62 87 58 81 50 125 104 126 92 83 79 74 108 51 49
NIPSNAP3A 132 102 50 125 151 181 309 275 299 366 304 241 276 119 153 94
OR13D3P 0 3 0 0 3 5 0 1 0 0 0 0 0 0 0 1
OR13D1 0 0 0 0 2 2 0 1 0 0 0 0 0 0 0 0
OR13C1P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OR13I1P 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
OR13C9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OR13C2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OR13C5 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0
OR13D2P 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
OR13C8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OR13C3 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
LOC107987105 1 0 5 1 1 3 1 0 3 0 1 1 0 0 0 0
OR13C4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OR13F1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100128906 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TOPORSLP 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SMC2 77 44 19 60 112 133 223 200 301 225 246 154 176 105 73 55
SMC2.DT 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0
LOC101928523 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376193 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376192 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNA5SP291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LINC01492 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CYLC2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100421294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ZYG11AP1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LINC00587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100127962 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376190 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU6.329P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376188 0 0 0 1 0 0 10 2 1 1 13 5 3 0 0 1
ARL2BPP7 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
LOC105376187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MTND3P4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376186 0 0 0 0 0 1 1 2 0 0 0 1 0 0 0 0
PPP3R2 2 0 0 0 5 6 2 0 0 2 1 2 1 0 1 1
GRIN3A 90 52 46 51 52 77 75 73 64 55 31 37 38 28 14 12
RNF20 531 344 223 687 341 546 923 900 991 966 927 697 869 625 356 333
PGAP4 1 0 4 2 0 2 1 4 1 1 0 2 0 1 0 0
TMEM246.AS1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376184 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
ALDOB 1 0 1 0 0 4 2 0 1 0 4 1 3 0 0 0
ZNF189 399 227 124 193 364 320 197 155 240 214 222 139 137 226 113 65
MRPL50 121 46 49 416 107 57 194 128 151 166 111 163 184 93 58 66
LOC124902238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376180 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105376179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ACTG1P19 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
RN7SKP87 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0
CAVIN4 4 3 1 3 2 6 8 16 19 12 12 12 11 7 2 0
TMEFF1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0
LOC124902237 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
MSANTD3.TMEFF1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSANTD3 89 121 88 303 192 31 223 191 134 208 121 111 164 101 73 51
LOC105376177 7 6 6 12 12 13 22 19 20 15 7 10 13 11 9 12
TEX10 216 119 84 314 194 221 527 463 571 488 330 338 385 319 196 188
LOC124902235 22 14 2 3 26 70 7 11 18 1 2 2 10 4 3 3
NANOGP5 34 18 12 4 34 70 6 10 6 0 5 1 2 2 0 0
RPS2P35 8 2 12 35 3 16 16 12 19 11 9 17 14 14 8 15
RN7SL75P 7 2 0 0 1 3 20 9 8 10 12 5 6 12 4 2
INVS 336 183 168 192 161 474 464 431 536 431 412 332 480 292 267 200
LOC105376176 752 682 96 54 1213 491 149 115 140 137 93 60 42 161 37 51
UPF3AP3 45 27 1 1 39 30 25 25 18 30 32 11 29 12 12 17
ERP44 622 459 350 1404 884 581 1147 1232 1431 1435 1827 837 1108 959 674 675
STX17 773 396 228 522 672 607 1058 1016 1120 969 771 623 841 542 277 326
STX17.DT 0 0 0 12 7 0 9 3 6 6 3 2 6 6 6 2
NR4A3 163 142 327 348 146 124 597 214 236 251 314 436 259 1268 651 521
LOC124902234 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
LOC101928438 0 1 18 5 3 0 1 0 2 0 1 1 1 1 2 0
LOC107987012 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
LOC124902233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124902236 1 0 0 2 0 0 2 0 0 2 0 0 0 0 1 0
LOC107987011 1 0 0 0 2 0 1 2 1 0 0 1 2 0 1 0
LOC124902232 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
NAMA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
KRT8P11 0 0 0 1 0 0 2 1 3 1 1 0 1 0 4 0
LOC124902231 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1 1
RN7SKP225 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0
LOC124902230 1 2 1 8 1 7 4 7 5 7 4 2 2 2 2 3
SEC61B 282 189 260 1573 258 311 1048 1010 1011 1054 941 865 911 1016 758 757
ALG2 242 171 167 670 200 267 449 453 478 475 276 330 482 283 314 282
RN7SL794P 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0
LOC105376174 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 2
RNA5SP290 5 1 0 0 1 0 1 1 0 0 1 1 0 0 0 0
TGFBR1 1841 1448 450 1338 2928 1394 1506 1548 1649 1754 1422 1074 1102 1088 615 545
COL15A1 1 0 2 1 0 2 0 1 3 0 0 4 1 2 2 7
NME2P3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC102724684 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
GALNT12 75 18 29 94 18 94 217 107 161 131 90 120 166 101 75 105
LOC124902229 0 0 0 0 0 0 1 0 4 0 0 1 1 2 0 1
ANKS6 111 24 56 169 23 190 455 298 333 315 180 235 359 236 200 217
LOC124902228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SEPTIN7P7 1 0 3 3 0 1 3 5 4 6 2 2 1 0 0 1
GABBR2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
LOC100131625 51 42 3 2 29 20 0 1 1 2 2 0 0 4 1 1
MIR6854 3 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0
TBC1D2 1641 1493 1352 307 1464 858 448 536 475 722 608 265 518 409 601 541
CORO2A 250 124 354 389 71 213 433 417 407 471 461 296 384 376 307 333
NANS 129 136 139 164 73 129 154 165 207 200 314 169 164 211 244 257
LOC124902227 7 3 14 4 2 3 3 3 8 5 1 3 3 2 2 2
TRIM14 2394 1747 2546 1309 1155 2729 2533 2157 2334 2200 1989 1367 1789 1341 1267 1274
